data/test/go_02_22_2016.obo: fmt(1.2) rel(2016-02-20) 44,127 GO Terms
data/test/goslim_metagenomics_02_22_2016.obo: fmt(1.2) rel(None) 161 GO Terms
GO:0008253	GO:0016791
GO:0003796	GO:0016798
GO:0031072	GO:0003674
GO:0015995	GO:0051186;GO:0006807;GO:0009058
GO:0015991	GO:0006811
GO:0009267	GO:0006950;GO:0007154
GO:0046718	GO:0008150
GO:0004525	GO:0004518
GO:0004526	GO:0004518
GO:0004523	GO:0004518
GO:0004298	GO:0008233
GO:0008677	GO:0016491
GO:0019221	GO:0007165
GO:0007178	GO:0007165
GO:0000179	GO:0016740
GO:0003707	GO:0004872
GO:0071902	GO:0008150
GO:0050909	GO:0008150
GO:0004316	GO:0016746;GO:0016491
GO:0004315	GO:0016746
GO:0005868	GO:0005575
GO:0007031	GO:0016043
GO:0006071	GO:0044281;GO:0005975
GO:0006072	GO:0008150
GO:0005524	GO:0000166
GO:0005525	GO:0000166
GO:0015628	GO:0009306
GO:0015629	GO:0005856
GO:0015627	GO:0005575
GO:0031419	GO:0003674
GO:0031418	GO:0003674
GO:0006270	GO:0006259
GO:0006275	GO:0008150
GO:0016730	GO:0016491
GO:0008138	GO:0016791
GO:0008137	GO:0016491
GO:0008134	GO:0008134
GO:0045202	GO:0005575
GO:0031330	GO:0008150
GO:0031334	GO:0008150
GO:0022839	GO:0005215
GO:0000917	GO:0016043
GO:0032012	GO:0008150
GO:0005179	GO:0005102
GO:0004803	GO:0003674
GO:0004806	GO:0016298
GO:0016671	GO:0016491
GO:0000922	GO:0005575
GO:0031683	GO:0003674
GO:0010951	GO:0008150
GO:0009452	GO:0016070
GO:0046961	GO:0016887;GO:0005215
GO:0048589	GO:0008150
GO:0009847	GO:0008150
GO:0051053	GO:0008150
GO:0051050	GO:0008150
GO:0034765	GO:0008150
GO:0006614	GO:0006810;GO:0016043
GO:0000723	GO:0016043;GO:0006259;GO:0042592
GO:0000724	GO:0006950;GO:0006259
GO:0004616	GO:0016491
GO:0051260	GO:0016043
GO:0046349	GO:0009058
GO:0017000	GO:0009058
GO:0017004	GO:0016043
GO:0045664	GO:0008150
GO:0047134	GO:0016491
GO:0005727	GO:0005727
GO:0004181	GO:0008233
GO:0044205	GO:0009058;GO:0009117
GO:0007596	GO:0008150
GO:0020012	GO:0008150
GO:0031514	GO:0005575
GO:0044351	GO:0006810
GO:0046856	GO:0006629
GO:0046854	GO:0006629;GO:0016310
GO:0019882	GO:0002376
GO:0019887	GO:0030234
GO:0019888	GO:0030234
GO:0006338	GO:0016043
GO:0006334	GO:0016043
GO:0043165	GO:0016043
GO:0006487	GO:0005975;GO:0019538
GO:0005681	GO:0005575
GO:0005680	GO:0005575
GO:0004222	GO:0008233
GO:0051051	GO:0008150
GO:0072507	GO:0042592
GO:0008766	GO:0016874
GO:0008762	GO:0016491
